Order_ID,Order_Date,Ship_Mode,Customer_Segment,Region,Category,Product,Quantity,Unit_Price,Discount,Sales,Profit,Month,Quarter
ORD-1000,2023-01-01 00:00:00.000000,Standard Class,Consumer,East,Furniture,Filing Cabinet,1,469.43,0.0,469.43,116.16,January,2023Q1
ORD-1001,2023-01-01 07:17:09.858215,Standard Class,Corporate,East,Sports,Yoga Mat,4,167.47,0.05,636.39,146.21,January,2023Q1
ORD-1002,2023-01-01 14:34:19.716430,Standard Class,Home Office,East,Office Supplies,Folders,5,95.42,0.05,453.24,111.25,January,2023Q1
ORD-1003,2023-01-01 21:51:29.574645,Standard Class,Corporate,North,Office Supplies,Stapler,3,48.6,0.15,123.93,43.36,January,2023Q1
ORD-1004,2023-01-02 05:08:39.432860,Standard Class,Corporate,North,Electronics,Laptop,1,283.8,0.05,269.61,58.2,January,2023Q1
ORD-1005,2023-01-02 12:25:49.291075,Standard Class,Corporate,East,Electronics,Camera,5,581.03,0.0,2905.15,479.4,January,2023Q1
ORD-1006,2023-01-02 19:42:59.149291,Second Class,Consumer,North,Electronics,Monitor,7,293.77,0.1,1850.75,275.84,January,2023Q1
ORD-1007,2023-01-03 03:00:09.007506,Second Class,Home Office,North,Clothing,Jacket,5,180.74,0.05,858.52,199.83,January,2023Q1
ORD-1008,2023-01-03 10:17:18.865721,Standard Class,Consumer,West,Office Supplies,Stapler,6,42.11,0.0,252.66,86.7,January,2023Q1
ORD-1009,2023-01-03 17:34:28.723936,First Class,Consumer,East,Office Supplies,Pens Set,2,83.8,0.05,159.22,45.41,January,2023Q1
ORD-1010,2023-01-04 00:51:38.582151,Standard Class,Consumer,East,Electronics,Monitor,3,827.69,0.15,2110.61,433.85,January,2023Q1
ORD-1011,2023-01-04 08:08:48.440366,Standard Class,Corporate,East,Sports,Cricket Bat,1,113.8,0.0,113.8,17.48,January,2023Q1
ORD-1012,2023-01-04 15:25:58.298582,Second Class,Corporate,East,Clothing,Trousers,2,135.49,0.1,243.88,72.16,January,2023Q1
ORD-1013,2023-01-04 22:43:08.156797,Standard Class,Corporate,North,Electronics,Camera,6,304.62,0.0,1827.72,280.27,January,2023Q1
ORD-1014,2023-01-05 06:00:18.015012,Standard Class,Consumer,South,Electronics,Smartphone,6,618.17,0.0,3709.02,567.05,January,2023Q1
ORD-1015,2023-01-05 13:17:27.873227,Standard Class,Consumer,South,Electronics,Smartwatch,2,280.55,0.0,561.1,106.47,January,2023Q1
ORD-1016,2023-01-05 20:34:37.731442,Standard Class,Consumer,South,Furniture,Sofa,4,580.67,0.0,2322.68,379.19,January,2023Q1
ORD-1017,2023-01-06 03:51:47.589658,First Class,Consumer,East,Office Supplies,Notebooks,5,97.28,0.15,413.44,88.78,January,2023Q1
ORD-1018,2023-01-06 11:08:57.447873,Standard Class,Corporate,South,Furniture,Bookshelf,1,267.58,0.0,267.58,50.43,January,2023Q1
ORD-1019,2023-01-06 18:26:07.306088,Standard Class,Consumer,South,Electronics,Smartwatch,1,419.84,0.1,377.86,69.57,January,2023Q1
ORD-1020,2023-01-07 01:43:17.164303,Standard Class,Consumer,South,Office Supplies,Notebooks,1,81.27,0.0,81.27,30.34,January,2023Q1
ORD-1021,2023-01-07 09:00:27.022518,Second Class,Consumer,North,Electronics,Monitor,2,452.43,0.2,723.89,157.38,January,2023Q1
ORD-1022,2023-01-07 16:17:36.880733,Standard Class,Consumer,South,Electronics,Monitor,7,914.46,0.1,5761.1,1031.05,January,2023Q1
ORD-1023,2023-01-07 23:34:46.738949,Second Class,Consumer,North,Furniture,Filing Cabinet,4,425.12,0.1,1530.43,243.17,January,2023Q1
ORD-1024,2023-01-08 06:51:56.597164,Standard Class,Consumer,North,Furniture,Filing Cabinet,3,325.15,0.0,975.45,219.14,January,2023Q1
ORD-1025,2023-01-08 14:09:06.455379,Standard Class,Corporate,North,Clothing,Jacket,6,164.25,0.05,936.22,262.82,January,2023Q1
ORD-1026,2023-01-08 21:26:16.313594,Standard Class,Corporate,South,Electronics,Headphones,2,625.25,0.0,1250.5,203.37,January,2023Q1
ORD-1027,2023-01-09 04:43:26.171809,Standard Class,Corporate,East,Office Supplies,Pens Set,7,92.64,0.2,518.78,119.31,January,2023Q1
ORD-1028,2023-01-09 12:00:36.030025,Standard Class,Home Office,North,Office Supplies,Printer Paper,3,93.82,0.05,267.39,69.56,January,2023Q1
ORD-1029,2023-01-09 19:17:45.888240,Standard Class,Consumer,South,Electronics,Camera,6,389.1,0.1,2101.14,439.83,January,2023Q1
ORD-1030,2023-01-10 02:34:55.746455,First Class,Corporate,East,Office Supplies,Stapler,6,27.17,0.1,146.72,40.09,January,2023Q1
ORD-1031,2023-01-10 09:52:05.604670,Standard Class,Home Office,North,Electronics,Tablet,4,978.43,0.0,3913.72,836.34,January,2023Q1
ORD-1032,2023-01-10 17:09:15.462885,Second Class,Consumer,West,Electronics,Tablet,5,922.42,0.1,4150.89,666.25,January,2023Q1
ORD-1033,2023-01-11 00:26:25.321100,Standard Class,Home Office,East,Sports,Gym Equipment,1,82.65,0.1,74.39,11.87,January,2023Q1
ORD-1034,2023-01-11 07:43:35.179316,Standard Class,Consumer,South,Sports,Yoga Mat,3,231.94,0.1,626.24,120.43,January,2023Q1
ORD-1035,2023-01-11 15:00:45.037531,Standard Class,Consumer,East,Clothing,Shoes,2,113.26,0.05,215.19,52.26,January,2023Q1
ORD-1036,2023-01-11 22:17:54.895746,First Class,Consumer,North,Furniture,Filing Cabinet,3,284.01,0.0,852.03,133.02,January,2023Q1
ORD-1037,2023-01-12 05:35:04.753961,Standard Class,Corporate,East,Electronics,Smartwatch,5,902.7,0.0,4513.5,625.76,January,2023Q1
ORD-1038,2023-01-12 12:52:14.612176,Standard Class,Corporate,South,Office Supplies,Folders,1,41.16,0.15,34.99,8.51,January,2023Q1
ORD-1039,2023-01-12 20:09:24.470391,Standard Class,Corporate,West,Furniture,Bookshelf,3,592.39,0.1,1599.45,270.3,January,2023Q1
ORD-1040,2023-01-13 03:26:34.328607,Standard Class,Consumer,North,Electronics,Headphones,5,418.05,0.05,1985.74,323.45,January,2023Q1
ORD-1041,2023-01-13 10:43:44.186822,Standard Class,Consumer,East,Furniture,Bookshelf,2,442.93,0.2,708.69,199.38,January,2023Q1
ORD-1042,2023-01-13 18:00:54.045037,Standard Class,Consumer,East,Electronics,Laptop,4,430.62,0.0,1722.48,311.76,January,2023Q1
ORD-1043,2023-01-14 01:18:03.903252,Standard Class,Consumer,North,Sports,Cycle,7,176.77,0.15,1051.78,226.46,January,2023Q1
ORD-1044,2023-01-14 08:35:13.761467,Standard Class,Home Office,South,Electronics,Tablet,6,762.46,0.25,3431.07,564.38,January,2023Q1
ORD-1045,2023-01-14 15:52:23.619683,Second Class,Consumer,East,Office Supplies,Stapler,2,40.7,0.2,65.12,17.47,January,2023Q1
ORD-1046,2023-01-14 23:09:33.477898,Standard Class,Corporate,West,Furniture,Office Chair,1,401.36,0.15,341.16,53.58,January,2023Q1
ORD-1047,2023-01-15 06:26:43.336113,Standard Class,Corporate,South,Office Supplies,Pens Set,6,60.77,0.0,364.62,109.41,January,2023Q1
ORD-1048,2023-01-15 13:43:53.194328,Standard Class,Consumer,East,Office Supplies,Printer Paper,7,32.11,0.0,224.77,66.77,January,2023Q1
ORD-1049,2023-01-15 21:01:03.052543,Second Class,Corporate,West,Electronics,Camera,2,859.18,0.1,1546.52,221.22,January,2023Q1
ORD-1050,2023-01-16 04:18:12.910758,Standard Class,Consumer,West,Sports,Cricket Bat,2,136.45,0.0,272.9,63.24,January,2023Q1
ORD-1051,2023-01-16 11:35:22.768974,Standard Class,Consumer,North,Clothing,Accessories,2,129.14,0.0,258.28,64.29,January,2023Q1
ORD-1052,2023-01-16 18:52:32.627189,Standard Class,Consumer,East,Sports,Football,2,170.84,0.15,290.43,52.47,January,2023Q1
ORD-1053,2023-01-17 02:09:42.485404,Standard Class,Corporate,South,Clothing,Formal Shirt,6,120.8,0.0,724.8,142.81,January,2023Q1
ORD-1054,2023-01-17 09:26:52.343619,Standard Class,Consumer,West,Office Supplies,Notebooks,1,34.72,0.2,27.78,8.59,January,2023Q1
ORD-1055,2023-01-17 16:44:02.201834,Second Class,Corporate,South,Sports,Yoga Mat,7,153.31,0.15,912.19,210.11,January,2023Q1
ORD-1056,2023-01-18 00:01:12.060050,First Class,Corporate,North,Electronics,Smartphone,5,595.7,0.15,2531.72,396.1,January,2023Q1
ORD-1057,2023-01-18 07:18:21.918265,Second Class,Consumer,East,Electronics,Monitor,3,798.22,0.1,2155.19,322.48,January,2023Q1
ORD-1058,2023-01-18 14:35:31.776480,Standard Class,Corporate,South,Electronics,Headphones,4,874.81,0.2,2799.39,510.52,January,2023Q1
ORD-1059,2023-01-18 21:52:41.634695,Standard Class,Corporate,West,Furniture,Bookshelf,7,412.15,0.15,2452.29,427.94,January,2023Q1
ORD-1060,2023-01-19 05:09:51.492910,Standard Class,Consumer,West,Furniture,Sofa,3,206.88,0.1,558.58,135.17,January,2023Q1
ORD-1061,2023-01-19 12:27:01.351125,Standard Class,Consumer,East,Electronics,Camera,3,440.53,0.0,1321.59,252.92,January,2023Q1
ORD-1062,2023-01-19 19:44:11.209341,Standard Class,Corporate,North,Clothing,Formal Shirt,4,73.43,0.2,234.98,44.19,January,2023Q1
ORD-1063,2023-01-20 03:01:21.067556,Second Class,Consumer,East,Furniture,Office Chair,7,223.83,0.15,1331.79,211.52,January,2023Q1
ORD-1064,2023-01-20 10:18:30.925771,Standard Class,Corporate,North,Electronics,Smartwatch,6,533.45,0.05,3040.66,586.82,January,2023Q1
ORD-1065,2023-01-20 17:35:40.783986,Standard Class,Consumer,North,Office Supplies,Folders,1,43.52,0.0,43.52,11.44,January,2023Q1
ORD-1066,2023-01-21 00:52:50.642201,Standard Class,Consumer,West,Electronics,Monitor,4,427.18,0.1,1537.85,208.13,January,2023Q1
ORD-1067,2023-01-21 08:10:00.500417,Standard Class,Consumer,North,Clothing,Jacket,1,58.44,0.0,58.44,16.88,January,2023Q1
ORD-1068,2023-01-21 15:27:10.358632,Standard Class,Consumer,South,Electronics,Camera,6,282.72,0.2,1357.06,217.02,January,2023Q1
ORD-1069,2023-01-21 22:44:20.216847,First Class,Corporate,West,Sports,Cricket Bat,3,91.73,0.25,206.39,40.28,January,2023Q1
ORD-1070,2023-01-22 06:01:30.075062,Standard Class,Consumer,South,Clothing,Shoes,1,74.42,0.0,74.42,15.67,January,2023Q1
ORD-1071,2023-01-22 13:18:39.933277,Second Class,Corporate,South,Electronics,Monitor,6,580.31,0.1,3133.67,607.15,January,2023Q1
ORD-1072,2023-01-22 20:35:49.791492,Second Class,Home Office,West,Electronics,Tablet,6,637.57,0.0,3825.42,606.56,January,2023Q1
ORD-1073,2023-01-23 03:52:59.649708,Second Class,Corporate,North,Clothing,Accessories,5,70.12,0.1,315.54,101.04,January,2023Q1
ORD-1074,2023-01-23 11:10:09.507923,Standard Class,Corporate,East,Office Supplies,Printer Paper,4,57.58,0.0,230.32,77.51,January,2023Q1
ORD-1075,2023-01-23 18:27:19.366138,Standard Class,Consumer,West,Office Supplies,Folders,5,51.61,0.1,232.24,54.49,January,2023Q1
